"lat" "lon" "nl" "sample" "hhid" "cons" "weight" "rururb" "room" "metal"
-10.0405 33.9087 0 1 "0172-001" 0.0165071101062845 325.48828125 "rural" 1 FALSE
-10.0405 33.9087 0 1 "0164-001" 0.00583948171994215 338.247253417969 "rural" 4 FALSE
-10.0405 33.9087 0 1 "0174-002" 0.0274648558767604 325.48828125 "rural" 4 FALSE
-10.0405 33.9087 0 1 "0162-001" 0.00697967614101876 174.358383178711 "rural" 2 FALSE
-10.0405 33.9087 0 1 "0166-001" 0.00645759693924851 335.201568603516 "rural" 4 FALSE
-10.0405 33.9087 0 1 "0168-001" 0.0101870022325796 164.283096313477 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0178-001" 0.00778116897900578 325.48828125 "rural" 1 FALSE
-10.0405 33.9087 0 1 "0168-002" 0.00887637457218865 166.421371459961 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0168-006" 0.0133711165554504 162.744140625 "rural" 1 FALSE
-10.0405 33.9087 0 1 "0182-001" 0.0173152806222245 338.247253417969 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0170-001" 0.0117862861974436 169.123626708984 "rural" 4 FALSE
-10.0405 33.9087 0 1 "0184-001" 0.005182660504017 338.247253417969 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0176-001" 0.00468112458773111 165.343109130859 "rural" 2 FALSE
-10.0405 33.9087 0 1 "0186-001" 0.011566957461406 330.686218261719 "rural" 4 FALSE
-10.0405 33.9087 0 1 "0190-001" 0.0148807689605585 330.686218261719 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0188-001" 0.00862543210527543 332.842742919922 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0178-002" 0.0121296741860983 166.421371459961 "rural" 3 FALSE
-10.0405 33.9087 0 1 "0180-001" 0.0132072069021212 325.48828125 "rural" 1 FALSE
-10.055309 33.982838 0 1 "0180-002" 0.0110782432440365 165.343109130859 "rural" 1 FALSE
-10.075571 33.989468 0 1 "2886-002" 0.00975935191323117 73.3786773681641 "urban" 2 FALSE
-10.16112 33.998054 0 1 "0392-001" 0.00628103401266474 136.714233398438 "rural" 2 FALSE
-10.176859 34.037412 0 1 "0198-001" 0.0144096880281645 199.374359130859 "rural" 2 FALSE
-10.1988 33.6635 0 1 "0097-001" 0.0057282891406014 223.467727661133 "rural" 3 FALSE
-10.1988 33.6635 0 1 "0109-001" 0.0113961361937944 220.457504272461 "rural" 3 FALSE
-10.1988 33.6635 0 1 "0099-001" 0.00801460740017619 219.044158935547 "rural" 2 FALSE
-10.1988 33.6635 0 1 "0119-001" 0.0131832760064854 108.496109008789 "rural" 6 FALSE
-10.1988 33.6635 0 1 "0123-001" 0.00515617468270108 220.457504272461 "rural" 3 FALSE
-10.1988 33.6635 0 1 "0101-001" 0.00456571291853655 225.49821472168 "rural" 1 FALSE
-10.1988 33.6635 0 1 "0121-001" 0.00595771422024739 221.89518737793 "rural" 1 FALSE
-10.1988 33.6635 0 1 "0103-001" 0.00637353894336877 219.044158935547 "rural" 1 FALSE
-10.1988 33.6635 0 1 "0107-001" 0.0139387902710892 221.89518737793 "rural" 1 FALSE
-10.1988 33.6635 0 1 "0113-001" 0.00348987666431509 223.467727661133 "rural" 2 FALSE
-10.1988 33.6635 0 1 "0105-001" 0.00989610491098339 219.044158935547 "rural" 4 FALSE
-10.1988 33.6635 0 1 "0115-001" 0.0101201856469437 223.467727661133 "rural" 1 FALSE
-10.1988 33.6635 0 1 "0111-001" 0.0058624065980899 223.467727661133 "rural" 4 FALSE
-10.1988 33.6635 0 1 "0127-001" 0.00517220183921287 219.044158935547 "rural" 3 FALSE
-10.1988 33.6635 0 1 "0117-002" 0.0114992037505432 111.733863830566 "rural" 5 FALSE
-10.1988 33.6635 0 1 "0125-001" 0.00811779722995499 221.89518737793 "rural" 2 FALSE
-10.240934 33.569214 0 1 "0366-001" 0.00822121128596524 182.017623901367 "rural" 2 FALSE
-10.259059 33.701109 0 1 "0103-003" 0.00705659319014046 108.496109008789 "rural" 2 FALSE
-10.30634 34.139264 0 1 "0224-003" 0.0469350040601448 94.7113723754883 "rural" 3 FALSE
-10.344512 34.17316 0 1 "0192-003" 0.0247491397716503 174.358383178711 "rural" 1 FALSE
-10.3457009329 33.6856343249 0 1 "0613-004" 0.00792103270943681 38.7727584838867 "urban" 3 FALSE
-10.358864 34.188385 0 1 "0161-006" 0.0187676839827717 132.900817871094 "rural" 1 FALSE
-10.380389 34.09918 0 1 "0236-001" 0.002979923182116 732.590393066406 "urban" 4 FALSE
-10.383056 34.20889 0 1 "0719-009" 0.0165872879270173 45.8886260986328 "urban" 3 FALSE
-10.4163 34.2318 0 1 "0161-001" 0.0102678362894347 135.903732299805 "rural" 3 FALSE
-10.4163 34.2318 0 1 "0181-001" 0.0042575169498995 265.801635742188 "rural" 2 FALSE
-10.4163 34.2318 0 1 "0177-001" 0.0220377150549263 136.86686706543 "rural" 3 FALSE
-10.4163 34.2318 0 1 "0163-001" 0.0135816130344474 268.315124511719 "rural" 3 FALSE
-10.4163 34.2318 0 1 "0191-001" 0.0116715198993227 276.220916748047 "rural" 2 FALSE
-10.4163 34.2318 0 1 "0165-001" 0.0104414923333879 294.956695556641 "rural" 3 FALSE
-10.4163 34.2318 0 1 "0189-002" 0.00655623007449997 276.220916748047 "rural" 3 FALSE
-10.4163 34.2318 0 1 "0167-001" 0.0130335391207517 134.157562255859 "rural" 5 FALSE
-10.4163 34.2318 0 1 "0183-001" 0.0520767540313412 324.432098388672 "rural" 3 FALSE
-10.4163 34.2318 0 1 "0189-001" 0.00955370265397913 132.900817871094 "rural" 4 FALSE
-10.4163 34.2318 0 1 "0185-001" 0.0118263963852325 284.770599365234 "rural" 2 FALSE
-10.4163 34.2318 0 1 "0169-001" 0.0274332503359242 135.903732299805 "rural" 6 FALSE
-10.4163 34.2318 0 1 "0179-001" 0.0106106783605117 279.765930175781 "rural" 2 FALSE
-10.4163 34.2318 0 1 "0171-001" 0.0493220160534288 271.807464599609 "rural" 4 FALSE
-10.424955 34.190593 0 1 "0192-001" 0.0125469874022842 167.600784301758 "rural" 3 FALSE
-10.4462 34.1193 0 1 "0216-001" 0.0124197120937179 193.702789306641 "rural" 3 FALSE
-10.4462 34.1193 0 1 "0210-001" 0.011862659780621 193.702789306641 "rural" 4 FALSE
-10.4462 34.1193 0 1 "0194-001" 0.00701486204653835 97.5377578735352 "rural" 2 FALSE
-10.4462 34.1193 0 1 "0204-001" 0.00513437395882753 95.6069946289062 "rural" 3 FALSE
-10.4462 34.1193 0 1 "0202-001" 0.00546061310339064 192.44775390625 "rural" 2 FALSE
-10.4462 34.1193 0 1 "0224-001" 0.0100016603801387 191.213989257812 "rural" 3 FALSE
-10.4462 34.1193 0 1 "0220-001" 0.00488055448293069 193.702789306641 "rural" 2 FALSE
-10.4462 34.1193 0 1 "0212-001" 0.00539164674181189 193.702789306641 "rural" 2 FALSE
-10.4462 34.1193 0 1 "0218-001" 0.0196364420451555 199.374359130859 "rural" 1 FALSE
-10.4462 34.1193 0 1 "0214-001" 0.00897177496009757 195.07551574707 "rural" 1 FALSE
-10.4462 34.1193 0 1 "0208-001" 0.00873134485362765 191.213989257812 "rural" 3 FALSE
-10.4462 34.1193 0 1 "0196-001" 0.00451297398190574 199.374359130859 "rural" 2 FALSE
-10.4462 34.1193 0 1 "0222-001" 0.00646721362273551 192.44775390625 "rural" 5 FALSE
-10.449073 34.212309 0 1 "0122-001" 0.0166870532482864 154.039764404297 "rural" 4 FALSE
-10.457141 34.178137 0 1 "0224-010" 0.0316494746887824 94.7113723754883 "rural" 2 FALSE
-10.481416 34.18526 0 1 "0342-004" 0.00831638717662032 201.076599121094 "rural" 2 FALSE
-10.550007 34.18714 0 1 "0406-001" 0.00668827183681316 273.428466796875 "rural" 2 FALSE
-10.621267 34.063226 0 1 "0409-003" 0.0386355412592043 219.607925415039 "rural" 2 FALSE
-10.6387 34.1824 0 1 "0382-002" 0.00921503204897877 251.968872070312 "rural" 1 FALSE
-10.6387 34.1824 0 1 "0384-001" 0.00576700924197427 129.673233032227 "rural" 3 FALSE
-10.6387 34.1824 0 1 "0410-001" 0.006794327112772 126.877258300781 "rural" 4 FALSE
-10.6387 34.1824 0 1 "0386-001" 0.00409531152978729 253.754516601562 "rural" 3 FALSE
-10.6387 34.1824 0 1 "0404-001" 0.00736299069893834 253.754516601562 "rural" 4 FALSE
-10.6387 34.1824 0 1 "0388-001" 0.00844411423360389 251.968872070312 "rural" 3 FALSE
-10.6387 34.1824 0 1 "0402-001" 0.00513393515483466 259.346466064453 "rural" 2 FALSE
-10.6387 34.1824 0 1 "0390-001" 0.00811740230998276 251.968872070312 "rural" 4 FALSE
-10.6387 34.1824 0 1 "0398-001" 0.00651448127091074 251.968872070312 "rural" 4 FALSE
-10.6387 34.1824 0 1 "0408-001" 0.00418789501239158 253.754516601562 "rural" 3 FALSE
-10.6387 34.1824 0 1 "0396-001" 0.00549811924616243 256.060211181641 "rural" 3 FALSE
-10.6387 34.1824 0 1 "0394-001" 0.0116560640903334 251.968872070312 "rural" 5 FALSE
-10.6387 34.1824 0 1 "0412-001" 0.0126631362478957 253.754516601562 "rural" 4 FALSE
-10.6794 34.0775 0 1 "0387-001" 0.00768459973132834 423.956756591797 "rural" 1 FALSE
-10.6794 34.0775 0 1 "0411-005" 0.0192540700912305 216.825210571289 "rural" 1 FALSE
-10.6794 34.0775 0 1 "0391-002" 0.0138660047167449 423.956756591797 "rural" 5 FALSE
