"lat" "lon" "nl" "sample" "hhid" "cons" "rururb" "weight" "room" "metal"
10.0746622967 9.60863965762 0 1 50001 1.88797863652942 "RURAL" 2684.27685546875 5 FALSE
10.0746622967 9.60863965762 0 1 50003 1.74640670230412 "RURAL" 2684.27685546875 3 FALSE
10.0746622967 9.60863965762 0 1 50004 3.17752343229229 "RURAL" 2684.27685546875 6 TRUE
10.0746622967 9.60863965762 0 1 50005 3.26662549240486 "RURAL" 2684.27685546875 3 TRUE
10.0746622967 9.60863965762 0 1 50006 1.36799448030725 "RURAL" 2684.27685546875 5 FALSE
10.0746622967 9.60863965762 0 1 50007 2.35245362297591 "RURAL" 2684.27685546875 4 FALSE
10.0746622967 9.60863965762 0 1 50008 1.99710198410955 "RURAL" 2684.27685546875 4 TRUE
10.0746622967 9.60863965762 0 1 50009 1.91603764318927 "RURAL" 2684.27685546875 6 TRUE
10.0746622967 9.60863965762 0 1 50010 1.3318075167422 "RURAL" 2684.27685546875 3 FALSE
10.1581945175 11.4693760711 0 1 150021 2.64543832419144 "RURAL" 10878.189453125 7 TRUE
10.1581945175 11.4693760711 0 1 150022 2.22997807694908 "RURAL" 10878.189453125 8 FALSE
10.1581945175 11.4693760711 0 1 150023 2.60519469068276 "RURAL" 10878.189453125 6 FALSE
10.1581945175 11.4693760711 0 1 150024 2.7756878864743 "RURAL" 10878.189453125 2 TRUE
10.1581945175 11.4693760711 0 1 150025 7.9034806756389 "RURAL" 10878.189453125 2 FALSE
10.1581945175 11.4693760711 0 1 150026 4.14787595940362 "RURAL" 10878.189453125 4 TRUE
10.1581945175 11.4693760711 0 1 150027 2.59281407647067 "RURAL" 10878.189453125 4 TRUE
10.1581945175 11.4693760711 0 1 150028 2.89289489244603 "RURAL" 10878.189453125 4 TRUE
10.1581945175 11.4693760711 0 1 150029 2.94303275558116 "RURAL" 10878.189453125 5 TRUE
10.1581945175 11.4693760711 0 1 150030 2.66105914348682 "RURAL" 10878.189453125 4 FALSE
10.1941516025 12.4560676383 0 1 20101 1.08857959212213 "RURAL" 4736.81689453125 3 TRUE
10.1941516025 12.4560676383 0 1 20102 3.36929900623354 "RURAL" 4736.81689453125 10 TRUE
10.1941516025 12.4560676383 0 1 20103 2.0532510213041 "RURAL" 4736.81689453125 4 FALSE
10.1941516025 12.4560676383 0 1 20104 0.937869336913442 "RURAL" 4736.81689453125 3 TRUE
10.1941516025 12.4560676383 0 1 20106 1.83057671208117 "RURAL" 4736.81689453125 3 TRUE
10.1941516025 12.4560676383 0 1 20107 2.87510329683035 "RURAL" 4736.81689453125 1 FALSE
10.1941516025 12.4560676383 0 1 20108 0.892148945420355 "RURAL" 4736.81689453125 4 TRUE
10.1941516025 12.4560676383 0 1 20109 6.31377079231754 "RURAL" 4736.81689453125 4 TRUE
10.1941516025 12.4560676383 0 1 20110 1.5952319838921 "RURAL" 4736.81689453125 3 TRUE
10.2374167796 10.1316668985 0 1 50031 5.52927722824505 "RURAL" 4127.07568359375 2 FALSE
10.2374167796 10.1316668985 0 1 50032 1.45546569884458 "RURAL" 4127.07568359375 4 FALSE
10.2374167796 10.1316668985 0 1 50033 6.18178448965584 "RURAL" 4127.07568359375 5 TRUE
10.2374167796 10.1316668985 0 1 50034 2.02401176502061 "RURAL" 4127.07568359375 4 FALSE
10.2374167796 10.1316668985 0 1 50035 2.55516928909397 "RURAL" 4127.07568359375 4 TRUE
10.2374167796 10.1316668985 0 1 50036 2.1280166207096 "RURAL" 4127.07568359375 5 FALSE
10.2374167796 10.1316668985 0 1 50037 1.76290364775763 "RURAL" 4127.07568359375 5 FALSE
10.2374167796 10.1316668985 0 1 50038 3.47780918482558 "RURAL" 4127.07568359375 2 FALSE
10.2374167796 10.1316668985 0 1 50039 3.15667091379319 "RURAL" 4127.07568359375 4 FALSE
10.2374167796 10.1316668985 0 1 50040 2.37038661586736 "RURAL" 4127.07568359375 8 TRUE
10.2669058861 4.67390470965 0.238636363636364 1 210052 1.13251581250463 "RURAL" 3517.85131835938 3 FALSE
10.2669058861 4.67390470965 0.238636363636364 1 210053 4.43802197607003 "RURAL" 3517.85131835938 8 FALSE
10.2669058861 4.67390470965 0.238636363636364 1 210054 1.42663169192637 "RURAL" 3517.85131835938 6 FALSE
10.2669058861 4.67390470965 0.238636363636364 1 210055 1.97192521474622 "RURAL" 3517.85131835938 4 FALSE
10.2669058861 4.67390470965 0.238636363636364 1 210056 2.15092208446584 "RURAL" 3517.85131835938 6 FALSE
10.2669058861 4.67390470965 0.238636363636364 1 210057 2.02167677097813 "RURAL" 3517.85131835938 6 FALSE
10.2669058861 4.67390470965 0.238636363636364 1 210058 2.48223320338539 "RURAL" 3517.85131835938 4 TRUE
10.2669058861 4.67390470965 0.238636363636364 1 210060 3.34662025540892 "RURAL" 3517.85131835938 2 FALSE
10.2686739218 13.2386102614 3.31818181818182 1 20081 1.91962328718679 "URBAN" 5510.1748046875 4 TRUE
10.2686739218 13.2386102614 3.31818181818182 1 20082 4.25964841775913 "URBAN" 5510.1748046875 8 TRUE
10.2686739218 13.2386102614 3.31818181818182 1 20083 2.27018501875961 "URBAN" 5510.1748046875 3 TRUE
10.2686739218 13.2386102614 3.31818181818182 1 20084 8.9988668760733 "URBAN" 5510.1748046875 3 TRUE
10.2686739218 13.2386102614 3.31818181818182 1 20085 4.72116793266606 "URBAN" 5510.1748046875 8 TRUE
10.2686739218 13.2386102614 3.31818181818182 1 20086 1.59125153125641 "URBAN" 5510.1748046875 8 TRUE
