"lat" "lon" "cons" "nl" "n" "sample"
-11.4970123249 35.6076255042 1.96311217353411 0 13 1
-11.3667549011 35.0224675311 1.78035252042236 0 1 1
-11.315454126 34.7862970999 3.7959375573927 0 9 1
-11.267839701 34.7884049024 2.8022551607782 0 1 1
-11.2404514254 38.33209914 9.04899928656785 0 1 1
-11.2012125073 35.3468738771 1.19072795601974 0 1 1
-11.1703191963 34.9964716241 1.86362326319251 0 12 1
-11.1618291011 35.4674338839 3.4130289107068 0 1 1
-11.1304756689 38.528375051 1.21791992844027 0 1 1
-11.1127016122 38.4629931414 7.4792249322182 0 1 1
-11.1087903236 34.6421658288 2.29099011510382 0 9 1
-11.0780505125 37.3247080963 0.817068870442936 0.138098542678695 1 1
-11.0724511372 37.3192514844 2.85742028590545 0.129220779220779 11 1
-11.062240589 37.3051757552 5.46244264583131 0.158024691358025 9 1
-11.0443711361 34.6598029279 8.07863651564438 0.146030440148087 1 1
-11.044048051 38.1831269594 4.98722304805341 0.128414186710151 1 1
-11.0262823921 37.362473797 3.28229204486303 0.081353305785124 10 1
-11.0119370026 37.2691084887 2.32756724722984 0.0452200303490137 7 1
-10.9874462869 34.8933878158 3.78690105805065 0.0475867269984917 12 1
-10.981236236 35.0422782094 3.13225018054726 0.0767649903288201 1 1
-10.9714279638 37.39884616 2.11189450670705 0.0116331096196868 9 1
-10.9505694462 37.4387814884 2.41224129145703 0 1 1
-10.9505471404 39.2777689026 4.83294099000579 0.0507575757575758 12 1
-10.9393721764 38.3953678051 2.45489767811603 0 1 1
-10.9309871113 39.4037209019 1.83913572388425 0.0729450190528035 6 1
-10.9208769633 39.2926942753 8.0006393879791 0.0924137931034483 9 1
-10.9202339616 38.4762802371 2.82489408275496 0 11 1
-10.9183934217 39.3589398477 2.74228007393761 0.0876389797253107 1 1
-10.916402672 39.3427062603 3.17849735885956 0.0889183808891838 1 1
-10.9113323051 39.6383616081 14.2379920101414 0.0866477272727273 1 1
-10.8776946161 39.7235629408 1.96445568733285 0 1 1
-10.8758642315 39.6613308814 0.5828668424179 0 1 1
-10.8698608032 39.7722727755 1.33881767289729 0 1 1
-10.8638518884 39.3435805857 4.35044229342749 0 1 1
-10.8567162216 39.1481155257 0.9254398537043 0 1 1
-10.8526338524 39.3925343551 2.53404543741791 0 1 1
-10.8499100642 38.7712088052 3.12835379091892 0 1 1
-10.8444701079 39.7615866141 3.46188914836407 0 1 1
-10.8363756837 38.7993439648 1.46923717190308 0 1 1
-10.8339031339 39.6313789733 1.42981166734656 0 1 1
-10.8334915333 39.3881477176 3.60546692570827 0 9 1
-10.8316089119 39.7388824298 1.97623931459271 0 10 1
-10.814478961 35.2847225571 2.67128730715096 0 1 1
-10.8119998781 39.4753451943 2.12682912592279 0 1 1
-10.8023137682 39.3275441437 3.01768731973161 0 1 1
-10.7995220047 39.421460278 1.81245832977358 0.0649350649350649 1 1
-10.7963029763 39.5170007783 2.56185628933305 0.0727272727272727 10 1
-10.7956744316 37.7944945739 1.41251559380366 0 1 1
-10.7949647148 38.6445300857 2.04554268771846 0 1 1
-10.7920607683 35.7555383543 2.34268912750287 0 11 1
-10.7834295755 39.1128015083 3.51418914949244 0 9 1
-10.7780833291 38.767341617 2.97514677655196 0.3 9 1
-10.777879528 39.7102249877 4.29050738467402 0.0927272727272727 1 1
-10.7655473163 38.8097382271 3.24070414998602 0.48936170212766 1 1
-10.7641305791 39.7160296717 8.20125619205896 0.0986460348162476 1 1
-10.7580926217 39.6907536691 3.86014048831953 0.100790513833992 1 1
-10.7577941277 39.458064319 3.8828722629836 0.103030303030303 1 1
-10.7571102817 39.7564602661 7.86053501754324 0.100790513833992 1 1
-10.751944876 39.73563125 5.17516099855346 0.103030303030303 1 1
-10.7479750461 39.3326789828 2.89013174350226 0 1 1
-10.7466199513 39.5066535311 2.56544477105362 0.115909090909091 1 1
-10.7462003406 39.3636173063 2.61600073016406 0 1 1
-10.7445486699 38.6585035453 2.2767192979137 0.94291754756871 1 1
-10.7285414679 38.8102123839 5.85743948717712 1.16829268292683 1 1
-10.727794833 39.4054147592 2.37445478890304 0 9 1
-10.7268364477 39.5026064991 7.65805371102347 0.115909090909091 1 1
-10.7221658578 38.8038733788 6.58319476961097 1.08863636363636 12 1
-10.7204719027 40.0686716454 2.93623611732967 0 1 1
-10.7157329555 38.7633523304 2.40342761481533 1.11655011655012 1 1
-10.7156329244 38.8229893359 11.9985874110346 1.11655011655012 1 1
-10.7134606356 39.739994498 1.86146680828195 0.0792540792540792 1 1
-10.7132425922 35.6127398892 3.44100296095702 0.918421052631579 1 1
