"lat" "lon" "cons" "nl" "n" "sample"
4.32871914124 6.30817186855 3.98659394595539 3.10689655172414 9 1
4.45926022726 7.28658389848 6.94783838726534 17.6469344608879 10 1
4.62396354007 7.77168188394 3.61279925153288 10.6698956780924 9 1
4.66379708075 7.33236455293 2.50637223159252 9.80999180999181 10 1
4.68817896818 7.70875490803 2.499397211866 6.67011235955056 9 1
4.70728140817 6.08810279067 3.80087451577676 1.97210671102297 8 1
4.74375535836 6.77709985593 5.76490277884833 7.81844608879493 9 1
4.74700605661 7.30371647702 2.48995146615863 7.74358974358974 10 1
4.75394354132 6.72883700328 6.312201998492 9.58269230769231 10 1
4.76075978363 7.16499712449 1.69373915871099 9.41826335099878 9 1
4.7633914725 7.93659582805 4.58639589485703 5.47877358490566 10 1
4.76758083369 6.98822760384 7.64442532133466 10.1836734693878 9 1
4.77589652323 6.83958672566 8.17940227551549 12.0657754010695 10 1
4.78376024056 7.02096866736 6.59915714996839 12.5167464114833 10 1
4.78786348202 7.10753851126 3.93739483203347 13.2097902097902 7 1
4.78973914833 6.30791226865 11.6121061469976 8.22825376062786 5 1
4.80794322157 6.97305168438 10.6129480586225 18.0466613032985 7 1
4.81152822621 7.13539967261 4.67821882502817 18.1951626355296 9 1
4.8273254021 8.08266879664 5.36114656764258 2.63926499032882 10 1
4.82822094307 6.65565833534 5.079064797073 13.8162267839687 10 1
4.83911362418 6.97727467892 8.22809768508082 25.1144385026738 8 1
4.84991665216 7.37144906773 5.71458211681127 14.988344988345 10 1
4.86001819643 7.05859914566 12.2773609893197 28.4470734744707 6 1
4.86465103466 7.84994924205 4.9383859328144 3.41869398207426 10 1
4.87619045073 6.83123796352 3.19045900098115 21.7933884297521 10 1
4.9211152487 8.02685220823 3.64734446876326 4.51923076923077 9 1
4.93447621662 7.96732908139 2.90688404236566 5.7847866419295 10 1
4.93711593292 6.36422666906 4.78391860846978 15.8604166666667 9 1
4.94791457045 7.7583190461 3.76087346510492 5.31721470019342 10 1
4.96425337683 5.77154382849 2.45741820521656 13.2933884297521 8 1
4.96466286575 7.8047042472 6.65643068330379 9.5 10 1
5.01159047312 7.94962641359 9.34304359589472 20.1459459459459 10 1
5.01417184373 6.54474998558 3.98473746535188 15.020202020202 10 1
5.05073911243 8.33941410449 5.40402759966812 9.15909090909091 8 1
5.05398782837 8.42242009772 3.59964088290633 10.053125 8 1
5.05646571817 7.91862324541 3.84790987541844 19.9602272727273 9 1
5.07826901425 7.91162660924 5.04405787597431 15.4233333333333 9 1
5.08014972082 6.81685134062 4.13446005594894 8.08181818181818 9 1
5.08858328195 7.73858652865 4.00898665068773 5.43636363636364 10 1
5.09037333332 7.36620770377 6.24199121103607 18.6363636363636 10 1
5.10748991826 8.18243277741 2.52476623976148 0.386363636363636 9 1
5.11421765924 7.3745962586 6.9788336246962 22.4579124579125 10 1
5.1415701422 6.07837594951 4.38680290106559 1.34265734265734 6 1
