"lat" "lon" "nl" "sample" "hhid" "cons" "rururb" "weight" "room" "metal"
-0.998074200016 31.3739988372 0.886363636363636 1 "2908-001" 5.4227123441395 "RURAL" 2267.048828125 1 TRUE
-1.05878345536 30.6970084519 0 1 "2898-001" 1.2614186674069 "RURAL" 3869.89208984375 3 TRUE
-1.05878345536 30.6970084519 0 1 "2899-001" 2.62758675501758 "RURAL" 3976.5625 2 TRUE
-1.05878345536 30.6970084519 0 1 "2900-001" 2.44733780054274 "RURAL" 3782.50732421875 3 TRUE
-1.05878345536 30.6970084519 0 1 "2901-001" 7.2007429471346 "RURAL" 3976.5625 5 TRUE
-1.05878345536 30.6970084519 0 1 "2902-001" 1.41402596527464 "RURAL" 3882.86401367188 3 TRUE
-1.05878345536 30.6970084519 0 1 "2903-001" 5.80029482403317 "RURAL" 3883.00708007812 6 TRUE
-1.05878345536 30.6970084519 0 1 "2904-001" 2.21483358675892 "RURAL" 1968.47473144531 4 TRUE
-1.05878345536 30.6970084519 0 1 "2905-001" 4.30390237144931 "RURAL" 3826.57543945312 6 TRUE
-1.05878345536 30.6970084519 0 1 "2906-001" 5.20205672633937 "RURAL" 2233.15673828125 4 TRUE
-1.07931479015 31.4073034539 0 1 "2914-004" 3.23288535762512 "RURAL" 1008.36456298828 2 TRUE
-1.12632117852 33.9805743749 0 1 "1091-002" 5.93070781733429 "RURAL" 1623.35205078125 1 TRUE
-1.17400743329 31.6499493584 0 1 "0815-001" 12.4478685593722 "RURAL" 503.477661132812 4 TRUE
-1.20763479739 31.4295624184 0.563636363636364 1 "2927-001" 16.6802054150298 "RURAL" 895.744873046875 10 TRUE
-1.21300950199 31.4639511867 0.6 1 "2907-001" 2.80913118151309 "RURAL" 4146.3701171875 2 FALSE
-1.21300950199 31.4639511867 0.6 1 "2913-001" 4.66104085395454 "RURAL" 4099.95849609375 1 FALSE
-1.21300950199 31.4639511867 0.6 1 "2909-001" 2.18760162740201 "RURAL" 2105.52001953125 4 FALSE
-1.21300950199 31.4639511867 0.6 1 "2911-002" 4.75047649851205 "RURAL" 3993.84423828125 4 TRUE
-1.21300950199 31.4639511867 0.6 1 "2912-001" 2.19935679361168 "RURAL" 2063.15795898438 4 TRUE
-1.21300950199 31.4639511867 0.6 1 "2914-001" 1.15365421847383 "RURAL" 2016.72912597656 5 TRUE
-1.21300950199 31.4639511867 0.6 1 "2914-003" 1.69011171775145 "RURAL" 2033.17395019531 6 TRUE
-1.21300950199 31.4639511867 0.6 1 "2916-001" 0.958765237063357 "RURAL" 3993.84423828125 4 TRUE
-1.21300950199 31.4639511867 0.6 1 "2915-001" 3.31658232690223 "RURAL" 2068.40478515625 4 FALSE
-1.21342211285 31.6654970309 0 1 "2917-001" 7.16753373440317 "RURAL" 1752.34130859375 6 TRUE
-1.21342211285 31.6654970309 0 1 "2918-001" 1.71645601562737 "RURAL" 1796.27490234375 5 TRUE
-1.21342211285 31.6654970309 0 1 "2919-001" 4.24064901012779 "RURAL" 3556.36694335938 3 TRUE
-1.21342211285 31.6654970309 0 1 "2920-001" 4.49128446019974 "RURAL" 1749.341796875 5 TRUE
-1.21342211285 31.6654970309 0 1 "2921-001" 4.22733864095596 "RURAL" 3556.36694335938 6 TRUE
-1.21342211285 31.6654970309 0 1 "2922-001" 4.57769595455467 "RURAL" 1738.16796875 6 TRUE
-1.21342211285 31.6654970309 0 1 "2926-005" 7.39071395643395 "URBAN" 959.551330566406 1 TRUE
-1.21342211285 31.6654970309 0 1 "2923-001" 6.41918931467164 "RURAL" 3606.20581054688 4 TRUE
-1.21342211285 31.6654970309 0 1 "2927-002" 4.00984606902592 "RURAL" 1821.0263671875 5 TRUE
-1.21342211285 31.6654970309 0 1 "2926-001" 1.44739723074768 "URBAN" 1919.10266113281 1 TRUE
-1.21988510312 31.6894024332 0 1 "2925-001" 4.47564336734652 "URBAN" 3718.4638671875 5 TRUE
-1.23291885814 31.3630712743 0.946022727272727 1 "3035-002" 2.63815407517356 "RURAL" 854.002685546875 5 TRUE
-1.25926978086 34.4865864931 0.361038961038961 1 "3025-002" 4.12924383872782 "URBAN" 1055.70935058594 4 TRUE
-1.29243537797 31.8390522051 1.49417249417249 1 "2940-003" 7.78508785595784 "RURAL" 1903.78088378906 2 TRUE
-1.29808257742 31.5755726429 0 1 "2914-011" 16.8923008141954 "RURAL" 2033.17395019531 2 TRUE
-1.2986368995 31.8209374742 1.67272727272727 1 "2933-001" 2.46226579897978 "URBAN" 4195.318359375 1 TRUE
-1.30888311368 31.8069429024 1.78048780487805 1 "2940-005" 6.08421215763477 "RURAL" 1864.724609375 4 TRUE
-1.31065961352 31.7910724797 1.73809523809524 1 "2853-001" 6.75195017698435 "RURAL" 1678.35009765625 5 TRUE
-1.32477642235 34.3549724628 0.570247933884298 1 "3222-001" 9.34506725720562 "RURAL" 6504.84033203125 2 TRUE
-1.32477642235 34.3549724628 0.570247933884298 1 "3230-002" 1.53148584118891 "RURAL" 3252.42016601562 1 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3223-001" 3.2543186697659 "RURAL" 3160.85668945312 3 TRUE
-1.32477642235 34.3549724628 0.570247933884298 1 "3224-001" 1.79640425021432 "RURAL" 6321.71337890625 3 TRUE
-1.32477642235 34.3549724628 0.570247933884298 1 "3224-002" 1.71384901376973 "RURAL" 3252.42016601562 1 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3225-001" 1.82319445719686 "RURAL" 6742.56982421875 2 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3226-002" 1.04283353471811 "RURAL" 3186.98291015625 2 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3226-009" 7.11300238230191 "RURAL" 3215.6279296875 1 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3227-001" 1.61892098369542 "RURAL" 6742.56982421875 1 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3228-001" 5.50862530295169 "RURAL" 1607.81396484375 7 TRUE
-1.32477642235 34.3549724628 0.570247933884298 1 "3228-002" 7.18339556296008 "URBAN" 849.811462402344 4 TRUE
-1.32477642235 34.3549724628 0.570247933884298 1 "3228-006" 4.00394394510263 "RURAL" 1626.21008300781 2 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3229-001" 2.70790237738107 "RURAL" 6969.99609375 1 FALSE
-1.32477642235 34.3549724628 0.570247933884298 1 "3230-001" 3.76910317773139 "RURAL" 3135.291015625 1 FALSE
-1.32675541078 31.8069328297 1.76161616161616 1 "0880-001" 4.70021766839716 "URBAN" 603.334289550781 2 TRUE
