"lat" "lon" "nl" "sample" "hhid" "cons" "rururb" "weight" "room" "roof"
-0.015238362364471 30.9372711181641 0 1 "410300290303" 2.50107554988672 "Rural" 2445.12329101562 3 TRUE
-0.0435730405151844 32.0053062438965 0.471074380165289 1 "101300021302" 5.83629099790183 "Rural" 2158.22900390625 2 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000403" 2.84391504818041 "Rural" 514.100463867188 3 TRUE
-0.0795709863305092 31.6357078552246 0 1 "105300040607" 3.43077344804372 "Rural" 1170.11791992188 6 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000404" 4.08978539234166 "Rural" 1028.20092773438 3 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000408" 2.97443497394404 "Rural" 1473.31945800781 5 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000409" 2.63569993375427 "Rural" 864.649230957031 3 TRUE
-0.0795709863305092 31.6357078552246 0 1 "105300040605" 1.47723735575882 "Rural" 2479.1201171875 5 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000402" 1.97023647369781 "Rural" 478.466735839844 4 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000410" 2.38854241227445 "Rural" 1028.20092773438 5 TRUE
-0.0795709863305092 31.6357078552246 0 1 "1053000407" 1.73692586032679 "Rural" 810.346374511719 4 TRUE
-0.105038173496723 30.2642192840576 0 1 "4133000505" 1.79336682314419 "Rural" 1593.28332519531 2 TRUE
-0.105038173496723 30.2642192840576 0 1 "4133000513" 3.40530271269546 "Rural" 832.866516113281 2 TRUE
-0.105038173496723 30.2642192840576 0 1 "4133000511" 1.91088654320576 "Rural" 4220.396484375 3 TRUE
-0.105038173496723 30.2642192840576 0 1 "4133000512" 2.54980007951659 "Rural" 828.398193359375 5 TRUE
-0.105038173496723 30.2642192840576 0 1 "4133000504" 2.78342807345786 "Rural" 865.451965332031 4 TRUE
-0.105038173496723 30.2642192840576 0 1 "4133000507" 1.97203189369459 "Rural" 1593.28332519531 2 TRUE
-0.107999116182327 31.1247825622559 0 1 "1143000301" 1.35770307197338 "Rural" 664.675964355469 2 FALSE
-0.120474293828011 31.8799686431885 1.05454545454545 1 "3105300300509" 8.13847189000492 "Rural" 7844.5947265625 1 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000804" 3.16099760186158 "Urban" 926.250671386719 5 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000803" 9.0700225916993 "Urban" 2393.01684570312 3 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000802" 10.5177890125787 "Urban" 619.956970214844 6 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000801" 0.684722781353649 "Urban" 554.927307128906 4 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000807" 3.29555680936202 "Urban" 1681.82055664062 3 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000808" 3.85192258756226 "Urban" 909.215209960938 5 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000809" 8.22809317311664 "Urban" 722.49853515625 4 TRUE
-0.132562950253487 30.4788208007812 0.7 1 "4171000810" 13.7877770858955 "Urban" 481.5869140625 8 TRUE
-0.142147570848465 31.8796768188477 0.958677685950413 1 "1051000310" 4.37602346643588 "Urban" 1154.31787109375 5 TRUE
-0.142147570848465 31.8796768188477 0.958677685950413 1 "1051000309" 4.03391129861571 "Urban" 1180.01525878906 5 TRUE
-0.142147570848465 31.8796768188477 0.958677685950413 1 "1051000305" 11.1260337621183 "Urban" 1454.02099609375 3 TRUE
-0.142147570848465 31.8796768188477 0.958677685950413 1 "1051000301" 1.42635633850426 "Urban" 2916.25341796875 1 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000504" 4.29380300703837 "Rural" 734.030212402344 3 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000510" 3.16750673730697 "Rural" 970.669982910156 6 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000506" 0.773455387061332 "Rural" 314.909637451172 2 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000505" 2.47574721073181 "Rural" 688.358337402344 4 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000502" 2.52566522354775 "Rural" 650.603698730469 6 TRUE
-0.151018559932709 31.4375495910645 0 1 "2111300051016" 3.96617416149132 "Rural" 7844.5947265625 3 TRUE
-0.151018559932709 31.4375495910645 0 1 "111300051004" 1.17140067723176 "Rural" 2297.09985351562 2 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000509" 2.32876954383498 "Rural" 734.030212402344 2 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000508" 3.71356969043294 "Rural" 805.769287109375 2 TRUE
-0.151018559932709 31.4375495910645 0 1 "1113000507" 10.20689396314 "Rural" 314.909637451172 4 TRUE
-0.15113827586174 30.9488544464111 0 1 "4193003210" 2.25524540652105 "Rural" 833.134216308594 4 TRUE
-0.15113827586174 30.9488544464111 0 1 "4193003206" 2.62681493081084 "Rural" 1290.71423339844 3 TRUE
-0.15113827586174 30.9488544464111 0 1 "4193003207" 2.2092965400034 "Rural" 1358.31079101562 4 TRUE
-0.155980333685875 31.400016784668 0 1 "1113000501" 2.06508934100112 "Rural" 766.567810058594 1 FALSE
-0.197683021426201 31.8102912902832 0.0413223140495868 1 "1053003306" 6.26046965775954 "Rural" 7844.5947265625 2 TRUE
-0.197683021426201 31.8102912902832 0.0413223140495868 1 "2105300330706" 3.40968676796841 "Rural" 7844.5947265625 4 TRUE
