DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
RW201000000011,RWGE61FL,RW,2010,11,RW2010DHS,60316.47266,68923.40625,77734.92969,170.9710288,191.9932955,219.390016,247.4379662,5698.140541,7.13E-05,0.002136482,0.011792003,-9999,3143.6,3147.1,3128.8,3217.5,3100.6,3264.4,3126.2,27.73243243,10.0,0.220085619,0.494925237,0.842081166,0.310568492,0.117024708,0.063261215,0.039349763,0.004981589,1573.083784,19660.83347,8669.545252,6460.825245,993.4,856.5,870,731.2,822.6,1025.9,813.4,4.026641350823479,1,0,0,20.3730011,20.70333354,20.21799978,20.52166621,20.56599935,20.09499995,19.95399984,20.44533285,20.29133352,20.1009992,20.64766693,21.08866628,212.1324324,53703.37109,64913.39453,79066.5,94047.59375,170.9431394,206.6257522,251.6764862,299.3627886
RW201000000012,RWGE61FL,RW,2010,12,RW2010DHS,108360.5938,123823.2344,139653.4375,307.1552136,344.9224828,394.1415965,444.530698,6656.948229,0.000461639,0.001085755,0.00361173,-9999,3382.777778,3416,3474.444444,3634.222222,3661.444444,3704.222222,3708.555556,28.0653951,12.0,0.138426789,0.424388495,0.74794364,0.209625212,0.089367946,0.047902346,0.083728361,0.007584186,1605.06267,13320.02848,48202.26282,15713.36269,1067.7,1026,962.4,755.9,958.4,1106.6,911,2.4384645883004086,0,0,0,20.47100067,21.24774933,20.36700058,20.47550011,20.61100006,20.45349884,20.00574875,20.5217495,20.37074852,20.22325134,20.89225006,21.26950073,251.6485014,98182.42188,116979.0781,140537.625,164925.3438,312.5243553,372.3559704,447.3451542,524.9736741
RW201000000013,RWGE61FL,RW,2010,13,RW2010DHS,99057.92969,113193.125,127664.3203,280.7862237,315.3111833,360.3049074,406.3681526,10556.6921,0.000464047,0.000770224,0.001470471,-9999,3135.545455,3183.545455,3275.181818,3343.181818,3763,3806.363636,3823.818182,32.79291553,13.0,0.132289845,0.446953516,0.770062768,0.147798133,0.064430356,0.04124831,0.048895279,0.002345801,1364.73297,28689.42678,9439.827163,16473.20252,1389.9,1380.9,1428.8,1069,1190,1364.2,1297,6.953743001745572,0,0,0,16.55850029,17.08724976,16.60575104,16.78649902,16.79349899,16.61124992,16.30274963,16.72999954,16.43449974,16.4470005,16.87674904,17.17599869,355.2643052,99991.64063,105576.7578,111956.8438,115491.5781,318.2832775,336.0612576,356.3697021,367.6211108
RW201000000014,RWGE61FL,RW,2010,14,RW2010DHS,119411.375,136450.9063,153895.5,338.4793932,380.0982119,434.3367245,489.8645909,10980.01913,0.000833445,0.002409951,0.008106604,-9999,3331.4,3328.7,3368.2,3563.2,3841.4,3807.6,3804.4,36.72131148,13.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1329.699454,38813.2485,4980.954722,19339.68488,1318.090909,1391.545455,1331.181818,997,1057.454545,1436.818182,1245.272727,5.558138154243511,0,0,1,15.27399921,15.52524948,15.39050007,15.57749939,15.60449982,15.22175026,14.9232502,15.52124977,15.03199959,15.11050034,15.50749969,15.72350025,425.4535519,114379,125855.4453,139064.0313,149457.7813,364.0796647,400.6103247,442.6545598,475.7388935
RW201000000015,RWGE61FL,RW,2010,15,RW2010DHS,137048.9063,156605.2656,176626.5,388.4741883,436.2402177,498.4900427,562.2196111,8122.505435,0.002559771,0.004847589,0.008833111,-9999,3293.8,3342.9,3348,3429.3,3614.9,3617.4,3559.6,39.90217391,12.0,0.125455742,0.414152382,0.722553845,0.186275996,0.081864623,0.049049405,0.059559029,0.023086292,1523.706522,51465.5254,10382.21427,29198.37997,1185.5,1232.8,1196.2,885.6,1021.8,1299.4,1136.4,5.741963925568954,0,0,0,18.60199992,19.37033335,18.54400126,18.77266693,18.80066681,18.81333288,18.42100016,18.79299927,18.55066681,18.5663325,18.95033264,19.15999985,100.6277174,122565.6797,129336.9609,137087.0938,141361.0313,390.1386756,411.692333,436.3617722,449.9661378
RW201000000016,RWGE61FL,RW,2010,16,RW2010DHS,22489.31641,25739.00391,29109.46289,63.64550222,71.58571747,81.92979405,92.65829819,5841.062331,7.93E-06,0.002463407,0.00980041,-9999,2695.4,2738.4,2746.1,2821.4,2798.6,2853.9,2764.2,25.72162162,10.0,0.233300765,0.504165705,0.838182802,0.347758463,0.163368089,0.111903497,0.055520449,0,1585.723577,5847.088575,15838.76914,2782.802275,1003.111111,881.2222222,894.8888889,768.3333333,827.3333333,1045.111111,867.2222222,2.742350150443412,0,0,0,20.7025013,20.74374962,20.4972496,20.69775009,20.77050018,20.32824898,20.34575081,20.58450127,20.60924911,20.38949966,20.86425018,21.32099915,318.2378378,24243.25195,28861.60352,34567.28125,40399.37891,77.16866769,91.86933732,110.0310736,128.595217
RW201000000017,RWGE61FL,RW,2010,17,RW2010DHS,194059.6563,221751.2188,250101.0625,550.0748953,617.7110711,705.8560522,796.0964074,7527.346995,0.003288691,0.009619508,0.014046024,-9999,3397.1,3401.4,3471.4,3511.7,3525.6,3597.8,3566.5,30.93715847,12.0,0.154957738,0.42786033,0.749922559,0.184208676,0.074370548,0.041298993,0.057459634,0.095130688,1541.663934,28376.25905,32863.35332,31450.65479,1078.9,1065.9,981.8,771.5,962.5,1151.8,973.7,2.728614515294143,0,0,0,19.14775085,20.20750046,19.18999863,19.44625092,19.61425018,19.42724991,18.87150002,19.35499954,19.10150146,19.02949905,19.71025085,20.02275085,193.8961749,165873.5625,187499.9063,212986.2031,235525.6719,527.991948,596.8307383,677.9561407,749.7014982
RW201000000018,RWGE61FL,RW,2010,18,RW2010DHS,186651.0625,213285.4531,240552.9688,529.0747488,594.1287846,678.908683,765.7038812,10483.51499,0.00355218,0.008776719,0.028404779,-9999,3534.444444,3588,3666.222222,3667.111111,3900.111111,3996.555556,3944.777778,38.52043597,13.0,0.068458391,0.360269499,0.653626362,0.181752741,0.084496588,0.042909052,0.047416206,0.014710436,1367.667575,26391.65865,17644.20797,28280.25541,1240.4,1432.3,1283.5,995.4,1013.3,1500.9,1292.9,6.3495581520350814,0,0,2,16.3100001,16.48100026,16.46566772,16.63933309,16.64166768,16.20133464,15.95700073,16.58133443,16.09733327,16.09866714,16.46233368,16.67100016,176.5831063,160383,168345.0313,177433.7188,181902.8125,510.5149448,535.8588775,564.7890684,579.0146354
RW201000000019,RWGE61FL,RW,2010,19,RW2010DHS,91380,104419.5781,117769.1094,259.0226307,290.871574,332.3778402,374.8707181,6211.912568,0.000803819,0.004000957,0.014017896,-9999,3530.272727,3513.545455,3529.727273,3635.636364,3704.636364,3765.272727,3771.909091,29.12295082,11.0,0.125942527,0.413278411,0.733151015,0.239310869,0.105159251,0.05029459,0.092967844,0.016626135,1619.019126,15797.84259,56513.76199,14460.32652,1067.090909,1011.818182,938.4545455,749.2727273,960.4545455,1094.363636,866.5454545,2.307567492208846,0,0,0,20.69966761,21.30466715,20.56633377,20.63266754,20.81866709,20.54100037,20.15500132,20.68033346,20.5606664,20.36066691,20.99533335,21.40066528,161.284153,81754.21875,98171.46875,118790,140319.5625,260.2317607,312.4894904,378.1203138,446.6510397
RW201000000020,RWGE61FL,RW,2010,20,RW2010DHS,121690.375,139055.125,156832.6563,344.939393,387.3524942,442.6262101,499.2138498,7852.912807,0.002560968,0.00432054,0.007394854,-9999,3310.4,3369.6,3429.7,3433.2,3682.9,3735.5,3681.5,37.4986376,12.0,0.155265178,0.442393763,0.763192475,0.178211689,0.079695837,0.052344282,0.066625361,0.107931361,1512.762943,26566.9156,36420.47731,31682.43066,1145.7,1001.3,1079.5,854.5,1013.7,1206.8,1102.4,3.4985877096815394,0,0,0,19.01200104,19.98750114,19.09700012,19.19075012,19.29399872,19.0767498,18.65950012,19.14050102,18.94350052,18.79400063,19.32725143,19.84749985,111.0681199,110609.9297,129173.6328,151946.5625,174440.9844,352.0823413,411.1724435,483.6609302,555.2628989
