DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
NG201300000571,NGGE6AFL,NG,2013,571,NG2013DHS,13354.42773,15249.66992,17428.41016,935.3291209,1062.711593,1213.530174,1386.908814,9673.533333,0.0009665,0.001459988,0.003114303,4,3241,3194,3233,3210,3434,3422,3488,28,10.0,0,0.145177216,0.310677616,0.251760513,0.278913647,0.294596106,0.237283647,0,1610.333333,196044.7204,92597.4633,83030.47209,1522,1548,1734,1610,1275,1615,1367,1.10831667582194,0,0,0,27.15299988,23.65399933,25.07999992,26.63599968,25.21899986,23.82500076,24.56299973,27.35499954,25.90299988,25.4489994,24.5359993,24.04299927,69.73333333,9077.612305,10161.9082,11422.91016,12836.04297,722.3734349,808.6589606,909.0063082,1021.459844
NG201300000572,NGGE6AFL,NG,2013,572,NG2013DHS,1364.783691,1558.471924,1781.132813,95.58791093,108.6060353,124.0192552,141.7380457,9818.2,0,0,0,-9999,3561,3529,3567,3507,3696,3845,3835,23.33333333,10,0,0.172280468,0.36226478,0.365117401,0.400140017,0.385988206,0.30795905,0,1656.066667,158000.6975,130551.1834,120690.1246,1538,1760,1878,1657,1482,1745,1371,0.17824535369873046,0,0,0,28.68000031,25.18400002,26.38199997,28.38899994,26.74399948,25.35599899,26.04899979,29.00799942,27.28999901,26.92300034,25.99799919,25.55599976,179.6666667,1893.882324,2120.111084,2383.181641,2678.017334,150.7103667,168.7130795,189.6475692,213.1098482
NG201300000573,NGGE6AFL,NG,2013,573,NG2013DHS,55183.89063,63015.50781,72018.625,154.6007119,175.6557795,200.5845912,229.2424033,10938.39892,0.000232427,0.00050204,0.00373304,-9999,3560.5,3479.4,3442.6,3531.3,3758.6,3779.8,3767.6,24.06738544,10.0,0,0.185989078,0.349784203,0.34702158,0.390215937,0.28271176,0.25580562,0.04835853,1633.301887,144113.0294,105536.9294,102661.8173,1906.8,2212.1,2395.7,2075.8,1741,2029.5,1687.4,0.08133860996791295,0,0,0,28.65850067,25.54925156,26.90275002,28.58025169,27.03075027,25.75749969,26.48250008,29.02725029,27.51350021,27.38499832,26.38674927,25.95050049,151.8301887,51749.01563,57930.52734,65118.84766,73174.89063,164.7222328,184.3985956,207.2797299,232.9229111
NG201300000574,NGGE6AFL,NG,2013,574,NG2013DHS,2271.449219,2593.810303,2964.391602,159.0897618,180.7561856,206.4088656,235.8987884,11175.75,0.004425753,0.006360813,0.01197506,4,3118,3134,3237,3178,3460,3491,3469,28,10,0,0.155707441,0.29707095,0.267707467,0.32277602,0.223153695,0.204086334,2.386720657,1598.9375,164257.2462,110060.0857,80227.07401,1915,2233,2619,2061,1740,1984,1701,1.1196579933166504,0,2,2,27.87700081,24.82799911,26.24600029,27.92700005,26.39299965,24.96899986,25.68499947,28.24500084,26.73999977,26.65500069,25.59700012,25.17399979,33.625,6495.493164,7271.379395,8173.643066,9184.837891,516.8949224,578.6379869,650.4378485,730.9061759
NG201300000575,NGGE6AFL,NG,2013,575,NG2013DHS,363732.75,415353.1875,474695.25,1019.017276,1157.797303,1322.110258,1511.00191,9778.644022,0.006048066,0.007613098,0.018253727,4,3206.8,3188,3260,3296.3,3537.4,3636.4,3620.5,29.51630435,10.0,0,0.146692826,0.301024148,0.227779945,0.257717546,0.250430218,0.207405615,0.1723951,1604.850543,199303.6831,86296.93802,76268.40201,1489.8,1618.1,1770,1616.3,1281.8,1639.2,1364.1,0.7021923894467561,0,0,0,27.21766663,23.71166484,25.21033223,26.77499898,25.3723348,23.89600118,24.63899994,27.43533325,25.97500102,25.54233297,24.58166504,24.11966705,69.94565217,186195.9219,208437.0938,234301.375,263287.2813,592.6800271,663.475876,745.8044401,838.0694454
NG201300000576,NGGE6AFL,NG,2013,576,NG2013DHS,4442.726563,5073.232422,5798.051758,311.1635922,353.5409467,403.7150087,461.3942988,10303,0.001957136,0.002962175,0.008448277,4,3228,3220,3333,3346,3581,3602,3541,28,10,0,0.141847381,0.301558058,0.261689067,0.299505711,0.288516849,0.241671577,0.039275177,1578.4,190736.1905,92508.9819,82790.95892,1508,1806,1969,1714,1374,1742,1454,0.4124209721883138,0,0,1,26.95599937,23.62599945,25.04100037,26.54599953,25.16200066,23.72500038,24.47900009,27.18000031,25.7670002,25.37199974,24.41699982,23.98999977,46.86666667,7059.584961,7902.866699,8883.491211,9982.494141,561.7839214,628.8901499,706.9257691,794.3816435
NG201300000577,NGGE6AFL,NG,2013,577,NG2013DHS,9787.37793,11176.38867,12773.1748,685.4970481,778.8547887,889.3887514,1016.456954,12105.92857,0.000563193,0.00094945,0.001539021,4,3563,3562,3702,3685,3870,3754,3761,32,10.0,0,0.173534915,0.301514839,0.358590633,0.388881594,0.225635812,0.228093103,0.139064445,1573.071429,165753.1314,110936.3222,65983.31374,1968,2232,2606,2188,1883,2228,1710,1.3779593876429967,0,0,1,27.34300041,24.28100014,26.05800056,27.33200073,26.07500076,24.4489994,25.27000046,27.69799995,26.26099968,26.19099998,25.09000015,24.6590004,73.64285714,4321.817871,4838.062012,5438.375977,6111.178711,343.9193387,385.0007421,432.7722096,486.31215
NG201300000578,NGGE6AFL,NG,2013,578,NG2013DHS,3393.004883,3874.535645,4428.096191,237.6422654,270.0067495,308.32575,352.3766986,9747.066667,2.27E-05,7.29E-05,8.59E-05,-9999,3933,3907,3985,3767,3840,3839,3898,26.13333333,10,0,0.14410227,0.336450069,0.279251158,0.319765717,0.327814758,0.256404191,0,1606.533333,189051.1665,104228.441,94059.8453,1431,1596,1840,1575,1329,1681,1318,1.8558996836344401,0,0,0,27.01099968,23.52099991,24.9279995,26.45499992,25.02700043,23.66799927,24.42099953,27.20700073,25.73699951,25.29000092,24.36499977,23.84000015,89.66666667,4540.95459,5099.257813,5750.014648,6481.734863,361.3576847,405.7860435,457.571627,515.8000716
NG201300000579,NGGE6AFL,NG,2013,579,NG2013DHS,13694.38281,15637.87012,17872.07422,959.1391047,1089.764358,1244.422165,1422.214478,10407.33333,0,0.004849251,0.018772448,4,3187,3147,3154,3152,3508,3531,3574,29.86666667,10,0,0.158782873,0.321288594,0.21792841,0.255589902,0.199897215,0.176056013,0.02736032,1596.133333,190156.7427,84737.27886,71833.8212,1456,1722,1936,1685,1389,1795,1413,1.2482107798258464,0,0,1,27.13299942,23.74500084,25.4260006,26.89500046,25.54800034,23.94799995,24.73999977,27.41900063,25.93700027,25.64999962,24.59799957,24.13800049,57.26666667,2934.869141,3285.436523,3693.119141,4149.997559,233.5494656,261.4467314,293.8890834,330.2463127
NG201300000580,NGGE6AFL,NG,2013,580,NG2013DHS,44166.5625,50434.61719,57640.28125,123.7350603,140.5865348,160.5383726,183.4747136,9871.867568,0.000646831,0.000808225,0.001107509,4,3231.7,3223,3277,3381.6,3613.6,3677.6,3673.2,25.24324324,10.0,0,0.183571579,0.325175785,0.287891763,0.328103168,0.234506028,0.219562905,0,1651.264865,192578.6897,64189.83593,46362.61726,1576.6,1765.9,2086,1761.8,1493.9,1797.3,1462.9,0.1831186243005701,0,0,0,28.82033285,25.3710022,26.85433451,28.58933258,26.97533162,25.61366781,26.39166768,29.1899999,27.55699921,27.27766673,26.21133423,25.6863327,155.3054054,63188.69531,70689.77344,79408.69531,89173.65625,201.1358641,225.0125374,252.7657277,283.8485637
