DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
UG201100000546,UGGE61FL,UG,2011,546,UG2011DHS,56773.44531,67069.89844,78928.75,153.3007767,180.7154891,213.4901174,251.2380143,9316.631148,0.000194102,0.000592669,0.000828646,1,3659,3722.5,3772.1,3894.2,4316.9,4181.8,4285.7,33.83651226,12.0,0.010733038,0.291305385,0.736806728,0.665939876,0.661238943,0.497137819,0.249312282,0,1578.579235,5378.199937,53388.08173,61895.76179,1485.416667,1410.416667,1285.666667,1273.916667,1358.083333,1595.833333,1433.666667,0.9910747309796492,0,0,0,20.89499919,19.04299927,20.24200058,21.79499817,21.22699992,19.06099955,19.79100037,21.7473348,20.35766602,20.22666677,18.82633336,19.37466685,293.8228883,53510.63281,61159.30859,69625.64063,78415.6875,170.3296344,194.6761256,221.6252974,249.6048856
UG201100000549,UGGE61FL,UG,2011,549,UG2011DHS,93873.1875,110902.7422,130516.5938,253.4567834,298.8076363,353.0143925,415.4472212,6999.708447,0.001144569,0.001917288,0.002913195,1,3543.1,3601.2,3732.9,3735.7,3983.4,3960.2,4050.5,33.76229508,11.0,0.00316546,0.319337937,0.742655072,0.666263199,0.640555191,0.438735167,0.233242305,0.014273588,1672.839237,6042.429723,36098.23847,32366.07123,1133.8,1110,1113,963.4,1064.7,1210.7,1180.2,2.1063264020457253,0,0,0,23.17525101,21.35750008,22.34074974,24.02974892,23.35899925,21.45100021,22.22574997,23.93924904,22.83625031,22.32074928,20.33300018,21.72050095,201.2070845,85876.83594,97971.20313,111343.3516,125285.7578,273.3544587,311.8520252,354.4168958,398.7969531
UG201100000550,UGGE61FL,UG,2011,550,UG2011DHS,18713.91016,22122.03125,26047.98828,50.46641605,59.56822613,70.41661249,82.91332185,5757.185484,4.03E-06,2.94E-05,0.000200513,1,2898.916667,2826.833333,3005,2987.25,3083.833333,3236.083333,3330.5,30.77479893,11.0,0,0.372023495,0.792346102,0.658442736,0.616496861,0.423424482,0.250688642,0,1815.956989,30332.04087,27104.8671,30691.24449,1034,1101.7,1010.3,833.2,921.5,1118.9,1119.7,1.103965102985341,0,0,0,25.33333333,23.85233307,24.89700063,26.42766571,26.02133179,23.79766591,24.61833191,26.19833374,25.33066559,24.79566701,21.54433187,24.13300069,287.8252688,22418.70703,25658.58789,29262.45703,33062.15625,71.36096083,81.67382191,93.14529367,105.2401119
UG201100000552,UGGE61FL,UG,2011,552,UG2011DHS,37091.26953,43846.22656,51627.53906,100.0252634,118.0651778,139.5668739,164.3355608,5938.156757,0.000215572,0.000421933,0.000887292,1,2935.888889,2972.666667,3125.666667,3041.222222,3156.666667,3320.555556,3445.333333,35.05405405,11.0,0,0.356072802,0.775583513,0.661090732,0.620525002,0.418287635,0.241502732,0,1774.391892,17238.61485,23584.96984,20830.4059,1014.1,1053.4,992.3,848.3,913.5,1092.4,1100.5,1.1900845914273648,0,0,0,25.16475105,23.50650024,24.52075195,26.02474976,25.54375076,23.46949768,24.33575058,25.94474983,25.03050041,24.42100143,21.13949966,23.77099991,220.572973,35822.42969,40855.92188,46423.35938,52251.07031,114.0263352,130.0484384,147.7701424,166.3203224
UG201100000554,UGGE61FL,UG,2011,554,UG2011DHS,106379.1875,125752.6484,148069.75,286.8762876,338.6154707,400.283112,471.3206527,6375.956522,0.000275217,0.00131553,0.001993572,1,3259.818182,3291.272727,3427.727273,3527.363636,3619.090909,3505.363636,3626.545455,25.1548913,10.0,0,0.455651403,0.851596215,0.658991746,0.598399639,0.559305668,0.23645527,0,1866.451087,33360.75631,59247.92037,121290.1022,1271.1,1398.8,1240.9,1076.7,1109.2,1351.6,1282.6,0.6005527662194293,0,0,0,25.08766683,23.85300191,25.89899953,27.49833171,27.13999939,23.65133413,24.59766642,27.36400096,25.31700134,25.46066793,23.71466573,24.36833191,278.8152174,59349.03906,87211.21094,127678.125,185155.2813,188.9138587,277.6019063,406.4120944,589.3675652
UG201100000555,UGGE61FL,UG,2011,555,UG2011DHS,96192.95313,113711.3281,133891.4844,259.4067164,306.1916796,361.9543991,426.1898316,6418.128415,0.000273475,0.001256451,0.001895345,1,3290.3,3288.4,3437.8,3552.2,3658.7,3512.3,3626.9,25.30874317,10.0,0,0.45548082,0.852653285,0.658202716,0.600479535,0.564818587,0.237929072,0,1862.224044,29974.52654,62257.19256,124660.6767,1295.3,1403,1252.9,1086.2,1109.2,1361.4,1299,0.5599503647434255,1,0,0,25.05924988,23.93524933,26.00925064,27.61174965,27.25650024,23.72475052,24.70949936,27.45000076,25.40375137,25.51200104,23.75975037,24.45499992,270.0901639,51202.65625,75237.85156,110145.8047,159725.6563,162.9831168,239.4895197,350.6049856,508.4225548
UG201100000558,UGGE61FL,UG,2011,558,UG2011DHS,14132.81738,16706.64453,19671.54297,38.11243633,44.98615492,53.17890119,62.61646604,6009.016349,0,0,0,1,3198.3,3233.4,3343.9,3345.5,3578.8,3534.6,3447.5,22.3760218,10.0,0,0.484535934,0.88520734,0.640999794,0.586864217,0.528692818,0.226690642,0,1943.855586,32586.59086,52265.22804,109931.555,1234.583333,1353.416667,1202.5,1026,1070.083333,1334.75,1245.166667,0.3690705260398927,1,0,0,25.39466604,24.62799835,26.11000061,27.64300028,27.26766713,24.57833354,25.44733429,27.52499898,26.12399801,25.59299978,22.53866831,24.89833323,570.8501362,34204.24219,50177.61719,73337.92188,106177.3125,108.8754844,159.7203162,233.4418557,337.9728826
UG201100000559,UGGE61FL,UG,2011,559,UG2011DHS,56030.75391,66234.91406,77989.5,151.0999995,178.351429,210.8322796,248.2482887,6356.06812,2.13E-06,6.85E-05,0.000108011,1,3306.909091,3301.272727,3416.727273,3538.727273,3717.636364,3556.363636,3615.727273,24.01362398,10.0,0,0.470697579,0.866923538,0.648598467,0.598113741,0.555365188,0.232241239,0,1877.942779,23220.9845,61116.81666,132023.5595,1335.1,1435.7,1273.4,1079.9,1089,1368.6,1316.3,0.7602248022926601,1,0,0,25.21299934,23.71775055,25.76699829,27.31824875,27.18325043,23.36800003,24.4327507,27.28224945,25.1222496,25.51250076,24.23825073,24.43025017,332.8583106,27160.60742,39917.78125,58448.66016,84773.14844,86.45489857,127.0622441,186.0478636,269.8413123
UG201100000560,UGGE61FL,UG,2011,560,UG2011DHS,68808.23438,81339.39063,95774.54688,185.5574426,219.0234125,258.9113217,304.8598512,6445.032787,7.57E-05,0.000258335,0.000405867,1,3319.2,3335.2,3405.1,3501,3555.9,3518,3606.7,27.8773842,10.0,0,0.451343571,0.855247416,0.660659245,0.597888402,0.554408142,0.237563167,0,1865.909836,34083.52141,45295.8172,107808.3516,1227.636364,1394.909091,1200.818182,1056.454545,1090.909091,1357.090909,1278.545455,0.7130592221119365,1,0,0,25.09525108,24.2159996,25.84799957,27.48074913,27.0917511,24.08399963,24.98175049,27.26025009,25.6969986,25.3295002,22.50874901,24.52124977,305.7595628,35134.625,49225.88672,69268.40625,97224.39063,111.8369848,156.690864,220.4881851,309.4748472
UG201100000561,UGGE61FL,UG,2011,561,UG2011DHS,15548.59375,18380.25781,21642.17188,41.93040799,49.49271107,58.50617772,68.88917268,6030.8,0,3.89E-06,2.45E-05,1,3176.833333,3204.833333,3305.333333,3300.333333,3516.416667,3537.416667,3388.333333,27.75338753,10.0,0,0.482704253,0.886454046,0.635968924,0.577133,0.513466179,0.221234962,0,1951.972973,40608.79829,43724.08128,100852.137,1220.4,1333.8,1202.3,1017.3,1055.1,1338.1,1225.1,0.23256621489653717,1,0,0,25.625,24.74133301,26.1230011,27.82400004,27.39300028,24.6843338,25.53933207,27.63633219,26.1913325,25.66499837,22.23866526,25.0030009,407.672973,31868.55469,46702.99219,68190.89844,98628.76563,101.4407602,148.6602413,217.0583712,313.9451116
