"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-10.14083 33.993201 0 1 823 "      823  1" 364428 116349
-10.14083 33.993201 0 1 823 "      823  2" 364428 -59945
-10.14083 33.993201 0 1 823 "      823  3" 364428 -32566
-10.14083 33.993201 0 1 823 "      823  4" 364428 -94156
-10.14083 33.993201 0 1 823 "      823  5" 364428 -1562
-10.14083 33.993201 0 1 823 "      823  6" 364428 -45300
-10.14083 33.993201 0 1 823 "      823  7" 364428 -87651
-10.14083 33.993201 0 1 823 "      823  8" 364428 -48377
-10.14083 33.993201 0 1 823 "      823  9" 364428 -47841
-10.14083 33.993201 0 1 823 "      823 11" 364428 -61982
-10.14083 33.993201 0 1 823 "      823 12" 364428 -68908
-10.14083 33.993201 0 1 823 "      823 13" 364428 -79158
-10.14083 33.993201 0 1 823 "      823 14" 364428 53461
-10.14083 33.993201 0 1 823 "      823 15" 364428 -65420
-10.14083 33.993201 0 1 823 "      823 16" 364428 -49429
-10.14083 33.993201 0 1 823 "      823 17" 364428 -57693
-10.14083 33.993201 0 1 823 "      823 18" 364428 -40260
-10.14083 33.993201 0 1 823 "      823 20" 364428 -81730
-10.14083 33.993201 0 1 823 "      823 21" 364428 -28084
-10.14083 33.993201 0 1 823 "      823 22" 364428 -48294
-10.14083 33.993201 0 1 823 "      823 23" 364428 3874
-10.14083 33.993201 0 1 823 "      823 24" 364428 -43252
-10.14083 33.993201 0 1 823 "      823 25" 364428 -77096
-10.14083 33.993201 0 1 823 "      823 26" 364428 -49455
-10.14083 33.993201 0 1 823 "      823 27" 364428 -28421
-10.14083 33.993201 0 1 823 "      823 28" 364428 -68361
-10.14083 33.993201 0 1 823 "      823 29" 364428 72717
-10.14083 33.993201 0 1 823 "      823 31" 364428 -89165
-10.14083 33.993201 0 1 823 "      823 32" 364428 149056
-10.14083 33.993201 0 1 823 "      823 33" 364428 -74329
-10.14083 33.993201 0 1 823 "      823 35" 364428 -42984
-10.14083 33.993201 0 1 823 "      823 36" 364428 -37513
-10.166863 33.689773 0 1 781 "      781 25" 260631 -71257
-10.166863 33.689773 0 1 781 "      781 26" 260631 -19306
-10.166863 33.689773 0 1 781 "      781 27" 260631 -72500
-10.166863 33.689773 0 1 781 "      781 28" 260631 -63440
-10.166863 33.689773 0 1 781 "      781 29" 260631 -70325
-10.166863 33.689773 0 1 781 "      781 30" 260631 -73974
-10.166863 33.689773 0 1 781 "      781  1" 260631 137089
-10.166863 33.689773 0 1 781 "      781  2" 260631 -63721
-10.166863 33.689773 0 1 781 "      781  3" 260631 -82363
-10.166863 33.689773 0 1 781 "      781  4" 260631 -75102
-10.166863 33.689773 0 1 781 "      781  5" 260631 -83135
-10.166863 33.689773 0 1 781 "      781  6" 260631 709
-10.166863 33.689773 0 1 781 "      781  7" 260631 -51807
-10.166863 33.689773 0 1 781 "      781  8" 260631 -34366
-10.166863 33.689773 0 1 781 "      781  9" 260631 -43353
-10.166863 33.689773 0 1 781 "      781 10" 260631 -54396
-10.166863 33.689773 0 1 781 "      781 12" 260631 -79163
-10.166863 33.689773 0 1 781 "      781 13" 260631 -81407
-10.166863 33.689773 0 1 781 "      781 14" 260631 -63583
-10.166863 33.689773 0 1 781 "      781 15" 260631 -73378
-10.166863 33.689773 0 1 781 "      781 16" 260631 -54240
-10.166863 33.689773 0 1 781 "      781 18" 260631 21278
-10.166863 33.689773 0 1 781 "      781 19" 260631 -23751
-10.166863 33.689773 0 1 781 "      781 21" 260631 -71939
-10.166863 33.689773 0 1 781 "      781 22" 260631 -56487
-10.166863 33.689773 0 1 781 "      781 23" 260631 -85930
-10.166863 33.689773 0 1 781 "      781 24" 260631 -79885
-10.166863 33.689773 0 1 781 "      781 33" 260631 -89848
-10.166863 33.689773 0 1 781 "      781 34" 260631 -30452
-10.166863 33.689773 0 1 781 "      781 35" 260631 -68185
-10.166863 33.689773 0 1 781 "      781 31" 260631 -8590
-10.166863 33.689773 0 1 781 "      781 37" 260631 -47531
-10.223523 34.063664 0 1 53 "       53 32" 391086 -48163
-10.223523 34.063664 0 1 53 "       53 29" 391086 -26826
-10.223523 34.063664 0 1 53 "       53  1" 391086 40474
-10.223523 34.063664 0 1 53 "       53 22" 391086 -37961
-10.223523 34.063664 0 1 53 "       53  2" 391086 26257
-10.223523 34.063664 0 1 53 "       53 19" 391086 1375
-10.223523 34.063664 0 1 53 "       53 23" 391086 -52226
-10.223523 34.063664 0 1 53 "       53 28" 391086 -37441
-10.223523 34.063664 0 1 53 "       53 21" 391086 7832
-10.223523 34.063664 0 1 53 "       53  3" 391086 59797
-10.223523 34.063664 0 1 53 "       53 31" 391086 -55452
-10.223523 34.063664 0 1 53 "       53 15" 391086 -20779
-10.223523 34.063664 0 1 53 "       53  9" 391086 -53825
-10.223523 34.063664 0 1 53 "       53 20" 391086 -2786
-10.223523 34.063664 0 1 53 "       53 30" 391086 54648
-10.223523 34.063664 0 1 53 "       53  8" 391086 -46051
-10.223523 34.063664 0 1 53 "       53 17" 391086 21299
-10.223523 34.063664 0 1 53 "       53 37" 391086 9090
-10.223523 34.063664 0 1 53 "       53 18" 391086 66925
-10.223523 34.063664 0 1 53 "       53 33" 391086 -77367
-10.223523 34.063664 0 1 53 "       53 27" 391086 -57854
-10.223523 34.063664 0 1 53 "       53 16" 391086 -19824
-10.223523 34.063664 0 1 53 "       53  4" 391086 -79455
-10.223523 34.063664 0 1 53 "       53  7" 391086 7273
-10.223523 34.063664 0 1 53 "       53 24" 391086 -3523
-10.223523 34.063664 0 1 53 "       53 26" 391086 -62764
-10.223523 34.063664 0 1 53 "       53 14" 391086 66389
-10.223523 34.063664 0 1 53 "       53  5" 391086 1331
-10.223523 34.063664 0 1 53 "       53 12" 391086 -97201
-10.223523 34.063664 0 1 53 "       53 34" 391086 -52921
-10.223523 34.063664 0 1 53 "       53 35" 391086 -23654
-10.223523 34.063664 0 1 53 "       53 36" 391086 51991
-10.223523 34.063664 0 1 53 "       53 11" 391086 -77034
-10.269614 34.086991 0 1 300 "      300 37" 828910 44819
-10.269614 34.086991 0 1 300 "      300  6" 828910 -83772
-10.269614 34.086991 0 1 300 "      300 20" 828910 74218
-10.269614 34.086991 0 1 300 "      300 21" 828910 -75397
-10.269614 34.086991 0 1 300 "      300  7" 828910 130538
-10.269614 34.086991 0 1 300 "      300 36" 828910 -6550
-10.269614 34.086991 0 1 300 "      300  9" 828910 -80937
-10.269614 34.086991 0 1 300 "      300 10" 828910 -91574
-10.269614 34.086991 0 1 300 "      300 18" 828910 -95396
-10.269614 34.086991 0 1 300 "      300  5" 828910 -60901
-10.269614 34.086991 0 1 300 "      300  2" 828910 -89054
-10.269614 34.086991 0 1 300 "      300 30" 828910 8420
-10.269614 34.086991 0 1 300 "      300 31" 828910 -45788
-10.269614 34.086991 0 1 300 "      300  8" 828910 98679
-10.269614 34.086991 0 1 300 "      300 23" 828910 -57647
-10.269614 34.086991 0 1 300 "      300 25" 828910 -95403
-10.269614 34.086991 0 1 300 "      300 26" 828910 -1837
-10.269614 34.086991 0 1 300 "      300 22" 828910 40979
-10.269614 34.086991 0 1 300 "      300  3" 828910 -46721
-10.269614 34.086991 0 1 300 "      300 35" 828910 -49294
-10.269614 34.086991 0 1 300 "      300  1" 828910 -32795
-10.269614 34.086991 0 1 300 "      300 33" 828910 -55624
-10.269614 34.086991 0 1 300 "      300 12" 828910 -35361
-10.269614 34.086991 0 1 300 "      300 13" 828910 3309
-10.269614 34.086991 0 1 300 "      300 15" 828910 14182
-10.269614 34.086991 0 1 300 "      300 28" 828910 -1160
