"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
10.018109 13.125219 0 1 180 "180  9" 447065 -118400
10.018109 13.125219 0 1 180 "180 45" 447065 -100535
10.018109 13.125219 0 1 180 "180 46" 447065 -55375
10.018109 13.125219 0 1 180 "180  7" 447065 -101190
10.018109 13.125219 0 1 180 "180 48" 447065 -88916
10.018109 13.125219 0 1 180 "180 11" 447065 -107782
10.018109 13.125219 0 1 180 "180 13" 447065 -109597
10.018109 13.125219 0 1 180 "180 15" 447065 -92857
10.018109 13.125219 0 1 180 "180 31" 447065 -147576
10.018109 13.125219 0 1 180 "180 33" 447065 -44514
10.018109 13.125219 0 1 180 "180 35" 447065 -20453
10.018109 13.125219 0 1 180 "180  5" 447065 -75819
10.018109 13.125219 0 1 180 "180 39" 447065 -60094
10.018109 13.125219 0 1 180 "180 17" 447065 -121143
10.018109 13.125219 0 1 180 "180 18" 447065 -70925
10.018109 13.125219 0 1 180 "180 37" 447065 -88663
10.018109 13.125219 0 1 180 "180 22" 447065 -101788
10.018109 13.125219 0 1 180 "180 24" 447065 -68771
10.018109 13.125219 0 1 180 "180 59" 447065 -70094
10.018109 13.125219 0 1 180 "180 20" 447065 -73925
10.018109 13.125219 0 1 180 "180 30" 447065 -123915
10.018109 13.125219 0 1 180 "180  3" 447065 -62092
10.018109 13.125219 0 1 180 "180 63" 447065 -144259
10.018109 13.125219 0 1 180 "180 65" 447065 -105176
10.018109 13.125219 0 1 180 "180 67" 447065 -63825
10.018109 13.125219 0 1 180 "180 69" 447065 -102518
10.018109 13.125219 0 1 180 "180 41" 447065 -57578
10.018109 13.125219 0 1 180 "180 43" 447065 -82032
10.018109 13.125219 0 1 180 "180 73" 447065 -65697
10.018109 13.125219 0 1 180 "180 74" 447065 -63925
10.018109 13.125219 0 1 180 "180 50" 447065 -30467
10.018109 13.125219 0 1 180 "180 26" 447065 -77726
10.018109 13.125219 0 1 180 "180 28" 447065 -145722
10.018109 13.125219 0 1 180 "180 61" 447065 -77323
10.018109 13.125219 0 1 180 "180 56" 447065 -86275
10.018109 13.125219 0 1 180 "180 76" 447065 -103128
10.018109 13.125219 0 1 180 "180 71" 447065 -139359
10.018109 13.125219 0 1 180 "180 58" 447065 -125050
10.018109 13.125219 0 1 180 "180 54" 447065 -103135
10.018109 13.125219 0 1 180 "180  2" 447065 -99487
10.018109 13.125219 0 1 180 "180 78" 447065 -80093
10.018109 13.125219 0 1 180 "180 52" 447065 -37474
10.018109 13.125219 0 1 180 "180 82" 447065 -49436
10.018109 13.125219 0 1 180 "180 84" 447065 -31094
10.018109 13.125219 0 1 180 "180 80" 447065 -72349
10.032155 9.112013 1.53896103896104 1 144 "144 22" 472113 -75955
10.032155 9.112013 1.53896103896104 1 144 "144 20" 472113 -7803
10.032155 9.112013 1.53896103896104 1 144 "144 65" 472113 -26538
10.032155 9.112013 1.53896103896104 1 144 "144 18" 472113 -89441
10.032155 9.112013 1.53896103896104 1 144 "144 49" 472113 -9963
10.032155 9.112013 1.53896103896104 1 144 "144 51" 472113 35832
10.032155 9.112013 1.53896103896104 1 144 "144 82" 472113 -28574
10.032155 9.112013 1.53896103896104 1 144 "144 27" 472113 -63489
10.032155 9.112013 1.53896103896104 1 144 "144 29" 472113 -28747
