"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-1.252972 34.338501 0.403743315508021 1 353 "353 18" 876054 -70000
-1.252972 34.338501 0.403743315508021 1 353 "353 33" 876054 18000
-1.252972 34.338501 0.403743315508021 1 353 "353 38" 876054 -38000
-1.252972 34.338501 0.403743315508021 1 353 "353100" 876054 -88000
-1.252972 34.338501 0.403743315508021 1 353 "353 28" 876054 -93000
-1.252972 34.338501 0.403743315508021 1 353 "353 12" 876054 -87000
-1.252972 34.338501 0.403743315508021 1 353 "353 95" 876054 -96000
-1.252972 34.338501 0.403743315508021 1 353 "353 90" 876054 -80000
-1.252972 34.338501 0.403743315508021 1 353 "353 23" 876054 -17000
-1.252972 34.338501 0.403743315508021 1 353 "353111" 876054 -24000
-1.252972 34.338501 0.403743315508021 1 353 "353 85" 876054 -81000
-1.252972 34.338501 0.403743315508021 1 353 "353 64" 876054 -92000
-1.252972 34.338501 0.403743315508021 1 353 "353 49" 876054 -29000
-1.252972 34.338501 0.403743315508021 1 353 "353  7" 876054 -90000
-1.252972 34.338501 0.403743315508021 1 353 "353 59" 876054 -93000
-1.252972 34.338501 0.403743315508021 1 353 "353 80" 876054 -69000
-1.252972 34.338501 0.403743315508021 1 353 "353106" 876054 -97000
-1.252972 34.338501 0.403743315508021 1 353 "353  2" 876054 78000
-1.252972 34.338501 0.403743315508021 1 353 "353 69" 876054 -37000
-1.27974 30.902438 0 1 315 "315230" 1844866 -56000
-1.27974 30.902438 0 1 315 "315243" 1844866 -61000
-1.27974 30.902438 0 1 315 "315 69" 1844866 -62000
-1.27974 30.902438 0 1 315 "315 94" 1844866 47000
-1.27974 30.902438 0 1 315 "315131" 1844866 -46000
-1.27974 30.902438 0 1 315 "315144" 1844866 -40000
-1.27974 30.902438 0 1 315 "315119" 1844866 -42000
-1.27974 30.902438 0 1 315 "315 81" 1844866 -64000
-1.27974 30.902438 0 1 315 "315255" 1844866 -63000
-1.27974 30.902438 0 1 315 "315218" 1844866 -65000
-1.27974 30.902438 0 1 315 "315156" 1844866 -37000
-1.27974 30.902438 0 1 315 "315193" 1844866 -69000
-1.27974 30.902438 0 1 315 "315168" 1844866 -53000
-1.27974 30.902438 0 1 315 "315268" 1844866 -61000
-1.27974 30.902438 0 1 315 "315206" 1844866 -55000
-1.27974 30.902438 0 1 315 "315 57" 1844866 -75000
-1.27974 30.902438 0 1 315 "315 19" 1844866 -41000
-1.27974 30.902438 0 1 315 "315106" 1844866 -57000
-1.27974 30.902438 0 1 315 "315 44" 1844866 -61000
-1.27974 30.902438 0 1 315 "315 32" 1844866 -54000
-1.27974 30.902438 0 1 315 "315181" 1844866 -98000
-1.326066 31.73037 1.98553719008264 1 321 "321166" 1460755 123000
